route_id,stop_id,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
5,5707,19500.0::27840.0::521.25,28200.0::36480.0::376.3636363636364,36960.0::45960.0::450.0,46440.0::56280.0::447.27272727272725,56760.0::66840.0::360.0,67200.0::78660.0::674.1176470588235
5,2338F,18660.0::28680.0::294.70588235294116,29040.0::38400.0::390.0,38880.0::48780.0::450.0,49260.0::58320.0::348.46153846153845,58680.0::67920.0::369.6,68520.0::78780.0::684.0
5,2318G,18740.0::28760.0::294.70588235294116,29120.0::38480.0::390.0,38960.0::48860.0::450.0,49340.0::58400.0::348.46153846153845,58760.0::68000.0::369.6,68600.0::78860.0::684.0
5,2543F,18840.0::28860.0::294.70588235294116,29220.0::38580.0::390.0,39060.0::48960.0::450.0,49440.0::58500.0::348.46153846153845,58860.0::68100.0::369.6,68700.0::78960.0::684.0
5,6178,18894.0::28932.0::295.2352941176471,29292.0::38652.0::390.0,39132.0::49032.0::450.0,49512.0::58572.0::348.46153846153845,58932.0::68172.0::369.6,68772.0::79014.0::682.8
5,6179,22615.0::34042.0::423.22222222222223,34402.0::44362.0::368.8888888888889,44842.0::55162.0::448.69565217391306,55642.0::65362.0::373.84615384615387,65722.0::76495.0::359.1,77215.0::89335.0::508.0
5,2537F,22680.0::34140.0::424.44444444444446,34500.0::44460.0::368.8888888888889,44940.0::55260.0::448.69565217391306,55740.0::65460.0::373.84615384615387,65820.0::76560.0::358.0,77280.0::89400.0::508.0
5,2200F,22752.0::34229.0::425.0740740740741,34590.0::44550.0::368.8888888888889,45030.0::55350.0::448.69565217391306,55830.0::65550.0::373.84615384615387,65910.0::76632.0::357.4,77352.0::89467.0::507.6666666666667
5,2337F,22874.0::34380.0::426.14814814814815,34743.0::44703.0::368.8888888888889,45183.0::55503.0::448.69565217391306,55983.0::65703.0::373.84615384615387,66063.0::76754.0::356.3666666666667,77474.0::89580.0::507.06666666666666
5,0531,19140.0::28920.0::296.3636363636364,29280.0::39000.0::388.8,39480.0::49320.0::447.27272727272725,49800.0::58920.0::350.7692307692308,59280.0::68520.0::369.6,69120.0::79260.0::676.0
5,0511,20220.0::31200.0::392.14285714285717,31560.0::41400.0::410.0,41820.0::51720.0::450.0,52140.0::60840.0::362.5,61200.0::69840.0::392.72727272727275,70440.0::79380.0::687.6923076923077
5,0501,20304.0::31284.0::392.14285714285717,31644.0::41484.0::410.0,41904.0::51804.0::450.0,52224.0::60940.0::363.1666666666667,61300.0::69924.0::392.0,70524.0::79464.0::687.6923076923077
5,0601,20375.0::31355.0::392.14285714285717,31715.0::41555.0::410.0,41975.0::51875.0::450.0,52295.0::61025.0::363.75,61385.0::69995.0::391.3636363636364,70595.0::79535.0::687.6923076923077
5,0611,20443.0::31423.0::392.14285714285717,31783.0::41623.0::410.0,42043.0::51943.0::450.0,52363.0::61107.0::364.3333333333333,61467.0::70063.0::390.72727272727275,70663.0::79603.0::687.6923076923077
5,0621,20520.0::31500.0::392.14285714285717,31860.0::41700.0::410.0,42120.0::52020.0::450.0,52440.0::61200.0::365.0,61560.0::70140.0::390.0,70740.0::79680.0::687.6923076923077
5,0702,20640.0::31680.0::394.2857142857143,32040.0::41880.0::410.0,42300.0::52200.0::450.0,52620.0::61380.0::365.0,61740.0::70260.0::387.27272727272725,70860.0::79800.0::687.6923076923077
5,0703,20734.0::31774.0::394.2857142857143,32134.0::41974.0::410.0,42394.0::52294.0::450.0,52714.0::61474.0::365.0,61834.0::70354.0::387.27272727272725,70954.0::79894.0::687.6923076923077
5,0704,20804.0::31844.0::394.2857142857143,32204.0::42044.0::410.0,42464.0::52364.0::450.0,52784.0::61544.0::365.0,61904.0::70424.0::387.27272727272725,71024.0::79964.0::687.6923076923077
5,0705,20898.0::31938.0::394.2857142857143,32298.0::42138.0::410.0,42558.0::52458.0::450.0,52878.0::61638.0::365.0,61998.0::70518.0::387.27272727272725,71118.0::80058.0::687.6923076923077
5,0706,21000.0::32040.0::394.2857142857143,32400.0::42240.0::410.0,42660.0::52560.0::450.0,52980.0::61740.0::365.0,62100.0::70620.0::387.27272727272725,71220.0::80160.0::687.6923076923077
5,6253,21079.0::31786.0::396.55555555555554,32146.0::41866.0::405.0,42346.0::52186.0::447.27272727272725,52666.0::61486.0::367.5,61846.0::70726.0::386.0869565217391,71326.0::80239.0::685.6153846153846
5,6423F,21180.0::31920.0::397.77777777777777,32280.0::42000.0::405.0,42480.0::52320.0::447.27272727272725,52800.0::61620.0::367.5,61980.0::70860.0::386.0869565217391,71460.0::80340.0::683.0769230769231
5,6424F,21360.0::32940.0::413.57142857142856,33420.0::43440.0::371.1111111111111,43860.0::54120.0::446.0869565217391,54540.0::64200.0::371.53846153846155,64560.0::75180.0::366.2068965517241,75960.0::88080.0::508.0
5,6209,21437.0::33042.0::414.4642857142857,33522.0::43542.0::371.1111111111111,43962.0::54222.0::446.0869565217391,54642.0::64302.0::371.53846153846155,64662.0::75282.0::366.2068965517241,76037.0::88157.0::508.0
5,0722,21540.0::33180.0::415.7142857142857,33660.0::43680.0::371.1111111111111,44100.0::54360.0::446.0869565217391,54780.0::64440.0::371.53846153846155,64800.0::75420.0::366.2068965517241,76140.0::88260.0::508.0
5,0723,21608.0::33261.0::416.17857142857144,33741.0::43748.0::370.6296296296296,44168.0::54441.0::446.6521739130435,54861.0::64521.0::371.53846153846155,64881.0::75488.0::365.7586206896552,76208.0::88328.0::508.0
5,0724,21692.0::33002.0::418.8888888888889,33362.0::43352.0::370.0,43832.0::54542.0::446.25,54962.0::64622.0::371.53846153846155,64982.0::75572.0::365.17241379310343,76292.0::88412.0::508.0
5,0725,21752.0::33075.0::419.3703703703704,33435.0::43412.0::369.51851851851853,43892.0::54615.0::446.7916666666667,55035.0::64695.0::371.53846153846155,65055.0::75632.0::364.7241379310345,76352.0::88472.0::508.0
5,0726,21840.0::33180.0::420.0,33540.0::43500.0::368.8888888888889,43980.0::54720.0::447.5,55140.0::64800.0::371.53846153846155,65160.0::75720.0::364.13793103448273,76440.0::88560.0::508.0
5,0626,21960.0::33360.0::422.22222222222223,33720.0::43680.0::368.8888888888889,44160.0::54900.0::447.5,55320.0::64980.0::371.53846153846155,65340.0::75840.0::362.0689655172414,76560.0::88680.0::508.0
