route_id,stop_id,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
10,0704,24704.0::38264.0::354.0,38984.0::52124.0::279.041095890411,52544.0::65204.0::227.0616113744076,65624.0::78884.0::266.47058823529414,0::0::0,0::0::0
10,0705,24798.0::37638.0::353.6170212765957,38358.0::51318.0::287.22222222222223,51798.0::64398.0::226.0,64818.0::78978.0::263.89830508474574,0::0::0,0::0::0
10,0706,24900.0::37740.0::353.6170212765957,38460.0::51420.0::287.22222222222223,51900.0::64500.0::226.0,64920.0::79080.0::263.89830508474574,0::0::0,0::0::0
10,6253,24979.0::38539.0::354.0,39259.0::52006.0::276.6,52426.0::64606.0::226.55172413793105,65026.0::79159.0::263.51125026533646,0::0::0,0::0::0
10,6423F,25080.0::40800.0::354.91525423728814,41520.0::55680.0::248.7443946188341,56160.0::68760.0::226.0,69240.0::88980.0::284.38775510204084,0::0::0,0::0::0
10,5024,25158.0::40878.0::354.91525423728814,41598.0::55758.0::248.7443946188341,56238.0::68838.0::226.0,69318.0::89058.0::284.38775510204084,0::0::0,0::0::0
10,5025,25237.0::39517.0::354.33962264150944,40237.0::54037.0::264.19354838709677,54517.0::67597.0::226.5137614678899,68017.0::89137.0::278.7671232876712,0::0::0,0::0::0
10,5026,25320.0::41040.0::354.91525423728814,41760.0::55920.0::248.7443946188341,56400.0::69000.0::226.0,69480.0::89220.0::284.38775510204084,0::0::0,0::0::0
10,1984G,25440.0::39720.0::354.33962264150944,40440.0::54240.0::264.19354838709677,54720.0::67800.0::226.5137614678899,68220.0::89340.0::278.7671232876712,0::0::0,0::0::0
10,5952F,25567.0::39879.0::354.0,40599.0::54399.0::264.19354838709677,54879.0::67959.0::226.5137614678899,68379.0::89467.0::278.4613976197742,0::0::0,0::0::0
10,5953F,25635.0::41403.0::354.64285714285717,42123.0::56283.0::248.7443946188341,56763.0::69363.0::226.0,69843.0::89535.0::283.9303278688525,0::0::0,0::0::0
10,5920H,25680.0::40020.0::354.0,40740.0::54540.0::264.19354838709677,55020.0::68100.0::226.5137614678899,68520.0::89580.0::278.25688073394497,0::0::0,0::0::0
